dataset,sample,sample_label,malignant_threshold,variable,variable_type,n_spots,n_low,n_high,low_snai1ac_threshold,high_snai1ac_threshold,low_mean,high_mean,high_minus_low,cohens_d
denisenko_2022,SP8,denisenko_2022__SP8,0.2,HALLMARK_HEDGEHOG_SIGNALING_score,hallmark,1740,435,435,-0.3248880335556721,1.0024586897727725,-0.09857419409125882,-0.1960607350467471,-0.09748654095548827,-0.11268302020910106
denisenko_2022,SP8,denisenko_2022__SP8,0.2,HALLMARK_HEME_METABOLISM_score,hallmark,1740,435,435,-0.3248880335556721,1.0024586897727725,-0.0352708432432259,-0.23736557903050212,-0.20209473578727621,-0.206859278522206
denisenko_2022,SP8,denisenko_2022__SP8,0.2,HALLMARK_HYPOXIA_score,hallmark,1740,435,435,-0.3248880335556721,1.0024586897727725,0.10261641094551717,-0.1943599493581183,-0.29697636030363544,-0.3395088929632052
denisenko_2022,SP8,denisenko_2022__SP8,0.2,HALLMARK_IL2_STAT5_SIGNALING_score,hallmark,1740,435,435,-0.3248880335556721,1.0024586897727725,-0.33237875293272484,0.4260384134567924,0.7584171663895172,0.8180930949170032
denisenko_2022,SP8,denisenko_2022__SP8,0.2,HALLMARK_IL6_JAK_STAT3_SIGNALING_score,hallmark,1740,435,435,-0.3248880335556721,1.0024586897727725,0.04388347956210666,-0.34505010511468487,-0.3889335846767915,-0.42262604250726465
denisenko_2022,SP8,denisenko_2022__SP8,0.2,HALLMARK_INFLAMMATORY_RESPONSE_score,hallmark,1740,435,435,-0.3248880335556721,1.0024586897727725,-0.010070385125932117,-0.22156429815163417,-0.21149391302570206,-0.222196021299052
denisenko_2022,SP8,denisenko_2022__SP8,0.2,HALLMARK_INTERFERON_ALPHA_RESPONSE_score,hallmark,1740,435,435,-0.3248880335556721,1.0024586897727725,0.2642608659057411,0.24194732506568953,-0.022313540840051577,-0.021312773385701637
denisenko_2022,SP8,denisenko_2022__SP8,0.2,HALLMARK_INTERFERON_GAMMA_RESPONSE_score,hallmark,1740,435,435,-0.3248880335556721,1.0024586897727725,-0.07247217804200945,-0.05825735703484851,0.014214821007160941,0.015344430600317012
denisenko_2022,SP8,denisenko_2022__SP8,0.2,HALLMARK_KRAS_SIGNALING_DN_score,hallmark,1740,435,435,-0.3248880335556721,1.0024586897727725,0.08239878305523021,-0.42199859103444315,-0.5043973740896733,-0.5448910401462069
denisenko_2022,SP8,denisenko_2022__SP8,0.2,HALLMARK_KRAS_SIGNALING_UP_score,hallmark,1740,435,435,-0.3248880335556721,1.0024586897727725,0.2294629285878209,-0.145983486624154,-0.3754464152119749,-0.3602435763403929
denisenko_2022,SP8,denisenko_2022__SP8,0.2,HALLMARK_MITOTIC_SPINDLE_score,hallmark,1740,435,435,-0.3248880335556721,1.0024586897727725,0.09014108328819855,-0.19575255447121723,-0.2858936377594158,-0.3084271007132772
denisenko_2022,SP8,denisenko_2022__SP8,0.2,HALLMARK_MTORC1_SIGNALING_score,hallmark,1740,435,435,-0.3248880335556721,1.0024586897727725,-0.05904336339459921,0.6058320834975294,0.6648754468921286,0.7202682842817291
denisenko_2022,SP8,denisenko_2022__SP8,0.2,HALLMARK_MYC_TARGETS_V1_score,hallmark,1740,435,435,-0.3248880335556721,1.0024586897727725,-0.15777659401107136,0.28266467142743745,0.4404412654385088,0.48713989678359787
denisenko_2022,SP8,denisenko_2022__SP8,0.2,HALLMARK_MYC_TARGETS_V2_score,hallmark,1740,435,435,-0.3248880335556721,1.0024586897727725,-0.2149202938404781,0.11121841250633985,0.32613870634681796,0.35322094255349373
denisenko_2022,SP8,denisenko_2022__SP8,0.2,HALLMARK_MYOGENESIS_score,hallmark,1740,435,435,-0.3248880335556721,1.0024586897727725,0.08178488825092883,0.001014905272186675,-0.08076998297874216,-0.08652583907769634
