review_role,selected_k,analysis_tier,feature_method,sample,dataset,relationship,stratum,variant,variant_label,spearman_rho,spearman_pvalue,n_spots
supplementary_pearson_usable,4,supplementary_pearson,pearson,SP7,denisenko_2022,isodepth_vs_score,all,snai1ac_em_unsmoothed_corrected,Unsmoothed corrected,0.015716677241952776,0.35803652037654177,3422
supplementary_pearson_usable,4,supplementary_pearson,pearson,SP7,denisenko_2022,isodepth_vs_score,all,snai1ac_em_unsmoothed_uncorrected,Unsmoothed uncorrected,0.1358579139351346,1.4453656234716911e-15,3422
supplementary_pearson_usable,4,supplementary_pearson,pearson,SP7,denisenko_2022,isodepth_vs_score,tumor,snai1ac_em_smooth_corrected,Smoothed corrected,0.14946473355341142,1.2836782161879073e-09,1633
supplementary_pearson_usable,4,supplementary_pearson,pearson,SP7,denisenko_2022,isodepth_vs_score,tumor,snai1ac_em_unsmoothed_corrected,Unsmoothed corrected,0.12324508844223184,5.864557956681059e-07,1633
supplementary_pearson_usable,4,supplementary_pearson,pearson,SP7,denisenko_2022,isodepth_vs_score,tumor,snai1ac_em_unsmoothed_uncorrected,Unsmoothed uncorrected,0.23084580816311218,3.409855684321684e-21,1633
supplementary_pearson_usable,4,supplementary_pearson,pearson,SP7,denisenko_2022,isodepth_vs_score,interface,snai1ac_em_smooth_corrected,Smoothed corrected,0.037366294706848054,0.24940090068549367,952
supplementary_pearson_usable,4,supplementary_pearson,pearson,SP7,denisenko_2022,isodepth_vs_score,interface,snai1ac_em_unsmoothed_corrected,Unsmoothed corrected,-0.060291498247509616,0.06295465360203005,952
supplementary_pearson_usable,4,supplementary_pearson,pearson,SP7,denisenko_2022,isodepth_vs_score,interface,snai1ac_em_unsmoothed_uncorrected,Unsmoothed uncorrected,0.02418249088933728,0.4561101498180483,952
supplementary_pearson_usable,4,supplementary_pearson,pearson,SP7,denisenko_2022,isodepth_vs_score,stroma,snai1ac_em_smooth_corrected,Smoothed corrected,-0.22569680172266973,3.967792834834315e-11,837
supplementary_pearson_usable,4,supplementary_pearson,pearson,SP7,denisenko_2022,isodepth_vs_score,stroma,snai1ac_em_unsmoothed_corrected,Unsmoothed corrected,-0.12004510093581411,0.0005006243415661469,837
supplementary_pearson_usable,4,supplementary_pearson,pearson,SP7,denisenko_2022,isodepth_vs_score,stroma,snai1ac_em_unsmoothed_uncorrected,Unsmoothed uncorrected,0.04727719209984682,0.17178388161174787,837
